address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
XXX1,"1,908",2,1,4,1968,San Jose,1,"7,200",561,Single Family Home,4,8,6,25-Aug-18,1070000,CA,95123
XXX2,"1,275",2,,2,2008,San Jose,1,898,847,Condo/Townhome/Row Home/Co-Op,4,3,7,7-Aug-18,1080000,CA,95126
"994 Orchid Way,","1,220",2,,3,1962,San Jose,28,"5,992","1,123",Single Family Home,8,8,7,6-Jul-18,1370000,CA,95117
"991 Jackson St,",681,1,,2,1910,San Jose,45,"4,185",984,Single Family Home,4,5,3,5-Aug-18,670000,CA,95112
"990 Kiser Dr,","1,470",2,1,3,1985,San Jose,37,"2,500",789,Single Family Home,10,8,10,16-Aug-18,1160000,CA,95120
"986 Katherine Ct,","1,048",2,,2,1918,San Jose,39,"4,264","1,126",Single Family Home,4,3,7,13-Sep-18,1180000,CA,95126
"98 Park Sharon Dr,","2,084",2,,4,1977,San Jose,,"7,200",550,Single Family Home,6,4,8,5-Nov-18,1147000,CA,95136
"971 Brookwood Ave,",902,2,,2,1930,San Jose,36,"3,960",831,Single Family Home,3,NR,4,31-Jul-18,750000,CA,95116
"969 Bellhurst Ave,",986,2,,2,1970,San Jose,,784,467,Condo/Townhome/Row Home/Co-Op,5,2,5,12-Jun-18,460000,CA,95122
"968 Desmet Ln,","2,377",3,,5,2000,San Jose,43,"3,294",551,Single Family Home,5,5,NR,7-Sep-18,1310000,CA,95125
"967 Costen Ct,","1,431",3,,3,1999,San Jose,,"1,431",611,Condo/Townhome/Row Home/Co-Op,5,5,NR,6-Jul-18,875000,CA,95125
"967 Arnold Way,","2,028",2,,4,1948,San Jose,,"9,638",727,Single Family Home,5,5,5,15-Jun-18,1475000,CA,95128
"964-966 Zarick Dr,","2,366",,,5,1976,San Jose,36,,676,Multi-Family Home,8,8,7,8-Aug-18,1600000,CA,95129
